abandon|vt. 停止做某事（尤指在其结束之前），即中止；也可指停止拥有某事物，即不再拥有
wear|n. [U]（由于使用过多所造成的）磨损；损耗；用坏等
wear|vi. wear well被长时间使用之后依然保持良好状态，如耐用、耐久、耐穿、耐磨等
wear|vt.＆vi.（通过持续使用或摩擦而）变得（或使变得）更细、更光滑、更弱等，即磨损，消耗，用旧等
weather|vt. 经受住，或平安地渡过困难时期
widow|n. [C] 寡妇；遗孀
will|vt. will sth (to sb) / will sb sth 通过立遗嘱的方式，将自己死后的财产或所有物给予某人
wilt|vt.&vi.（使）植物或花枯萎（可以是自然枯萎，也可以是因为炎热或缺水而枯萎）
wipe|vt. 使某事物消失
withdrawal|n. [U, C] 停止
withdrawal|n. [U] 戒毒过程；脱瘾期
wither|vi. ~ (away) 渐渐变小或变弱、直至消失
wither|vt.&vi.（使）植物枯萎、凋谢
work|vi. 事情进展
worn|adj. 常作前置定语，（物品）由于太旧或被用得太多而损坏或变薄的，即破旧的，用坏的，磨薄的
wreath|n. [C]（尤指用于祭奠的）花圈
wrestle|vt.＆vi. wrestle (with sth) 尝试（或努力）去处理（或解决）困难的事情（或问题），相当于battle或grapple
yield|vt. 产生或提供某事物（如利润、结果或粮食）
young|adj.（事物）刚刚开始存在的
